ply,side,n_legal,n_qualified,v_root,q1,q2,gap,F_gap,eff_actions,ease_entropy,F_tree_gap,F_flat_gap,F_tree_entropy,F_flat_entropy,best_move,fen,gap_hi
16,white,33,8,0.0659,0.3092,-0.0347,0.3439,0.0,1.0,0.0001,0.1593,0.1541,0.1474,0.1344,d5e6,r1nqkb1r/pppb1p1p/3p2pn/3Pp3/P7/2P2NPP/1P2PP1R/RNBQKB2 w Qkq e6 0 1,0.2972
23,black,40,10,-0.5348,-0.4363,-0.4536,0.0173,0.5755,4.672,0.6695,0.2537,0.2742,0.2358,0.2642,a8a7,r2qkb1r/1ppn2pp/8/p4b2/3P4/1P3PP1/P3P1B1/RNBQ1KNR b kq d3 0 1,0.001
89,black,30,8,0.6937,0.8418,0.7348,0.107,0.0327,1.247,0.106,0.1672,0.1484,0.2248,0.1985,b4c3,2b5/5krr/1p6/1P1p1p2/1b1PpP1p/2N5/P1PKR3/5B2 b - - 0 1,0.0068
90,white,24,8,-0.0045,0.0574,0.0346,0.0229,0.4814,3.28,0.5712,0.3931,0.4428,0.5152,0.5013,d4f5,4b3/1p3kr1/5pp1/p2P1n2/3N3p/5NpP/8/4K1Q1 w - - 0 1,0.0553
90,white,26,8,0.0319,0.0928,0.0823,0.0106,0.7135,4.652,0.7393,0.3461,0.46,0.4513,0.5015,e3f3,5n2/5k2/3r1n2/2p1pBR1/p1p4P/P1P1K2R/8/8 w - - 0 1,0.0282
91,black,15,8,-0.0925,-0.0199,-0.0534,0.0336,0.3417,2.741,0.4849,0.3203,0.3084,0.471,0.4623,h5h4,3k4/6p1/6P1/pP5r/R6P/P7/5K1P/8 b - - 0 1,0.0282
91,black,20,8,-0.6871,-0.5674,-0.6285,0.0611,0.1416,1.79,0.28,0.1686,0.1771,0.2301,0.2409,a7e7,1B6/r4k2/6b1/6P1/p7/P7/7R/2RK4 b - - 0 1,0.014
93,black,23,8,0.6995,0.7849,0.7631,0.0218,0.4982,3.321,0.5772,0.2056,0.2395,0.2528,0.3085,c5d5,3k4/1r1n4/1Pp5/2r5/8/P7/1N1B4/1K6 b - - 0 1,0.005
93,black,4,4,-0.9905,-0.9546,-0.9926,0.038,0.2966,3.272,0.8551,0.7798,0.7432,0.9219,0.9136,f8g7,5k2/8/p3B3/8/1P6/8/2PP1KP1/7R b - - 0 1,0.0126
93,black,29,8,0.9595,0.9935,0.9686,0.0249,0.4514,6.093,0.8691,0.5121,0.4868,0.7083,0.7391,b2b3,6k1/p2p4/n5N1/P2b3p/2p5/2P3p1/1rN3n1/2K5 b - - 0 1,0.0109
35,black,27,9,0.3207,0.6958,0.2389,0.4569,0.0,1.0,0.0,0.1743,0.1727,0.166,0.1353,c8a6,r1bqk1nr/3nppb1/1p5p/p2P2PP/4N3/3KP3/PP2Q1P1/R1B2BNR b q - 0 1,0.3035
18,white,25,9,-0.0537,0.0567,-0.0226,0.0793,0.0792,2.17,0.3525,0.1515,0.1806,0.2323,0.2457,c2c4,rnbqk1nr/pp2b3/6pp/2pp1p2/3p1P2/P5PP/1PP1P1B1/RNBQ1KNR w kq f6 0 1,0.0012
96,white,9,8,-0.9998,-0.9994,-0.9996,0.0002,0.9938,8.0,1.0,0.9834,0.9866,0.9998,0.9998,f1f2,2bn2k1/r7/1p1pp2p/2p4P/2P5/r7/8/3N1K2 w - - 0 1,0.0003
96,white,23,9,0.7726,0.8216,0.8016,0.02,0.5275,4.247,0.6582,0.2551,0.3107,0.3398,0.4074,b1c1,8/8/p1p5/5pk1/8/2K5/8/1R5N w - - 0 1,0.006
96,white,3,3,-1.0,-1.0,-1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,a1a2,1k5r/6p1/pp1b4/5p2/2P1q3/3n4/5n2/K7 w - - 0 1,0.0019
96,white,34,8,0.9956,0.9999,0.9999,0.0,0.9996,7.477,0.9675,0.9576,0.9451,0.9692,0.9581,d2d4,8/6k1/1K6/7p/7P/6PR/3Q4/8 w - - 0 1,0.0
81,black,45,8,0.9929,1.0,0.9999,0.0,0.9991,7.101,0.9427,0.9348,0.9342,0.9481,0.9558,c5c4,2bk2r1/2ppn3/pr5p/2q3p1/P5P1/3R3B/6KP/6N1 b - - 0 1,0.0
34,white,33,8,-0.1028,0.0955,-0.0057,0.1012,0.0394,1.304,0.1275,0.1759,0.1397,0.2325,0.2268,g1f3,r1bq2nr/pp3k2/2n1p2p/P1p3p1/3bP1P1/N6P/RP2BP1R/2BQK1N1 w - - 0 1,0.0208
57,black,32,8,0.968,0.9892,0.9854,0.0038,0.8851,6.448,0.8963,0.4852,0.5801,0.6396,0.7728,f6h4,r1bq3r/1p1p1k1p/p4b2/2pP1B2/1P5P/P1P1B3/2K2P2/RN6 b - - 0 1,0.0009
15,black,37,9,-0.4822,-0.3538,-0.3576,0.0038,0.8864,2.148,0.3479,0.2249,0.3538,0.1804,0.2453,d8c7,r2qkbnr/pp3ppp/2n5/2PppP2/8/N1P2PP1/P2P3P/R1BQKBNR b KQkq - 0 1,0.0057
11,black,28,9,0.0169,0.1216,0.0669,0.0547,0.1741,2.446,0.4071,0.0647,0.0874,0.1324,0.148,d5d4,r1bqkbnr/pp2p2p/n4pp1/1Npp4/2P5/4P1P1/PP1P1P1P/R1BQKBNR b KQkq - 0 1,0.0251
98,white,20,8,-0.9999,-0.9997,-1.0,0.0002,0.9923,8.0,1.0,0.9932,0.995,1.0,1.0,f1e1,3rr3/p3nk2/b1n5/5pp1/1p5b/1KP3p1/8/1R3R2 w - - 0 1,0.0001
98,white,14,8,0.4137,0.5607,0.3447,0.216,0.001,1.009,0.0043,0.2357,0.2917,0.3146,0.3332,d2b3,5r2/7p/2p4P/2k2p2/2P2P1P/5PK1/P1RN4/8 w - - 0 1,0.2213
20,white,39,10,-0.2318,-0.0813,-0.1041,0.0228,0.4829,2.907,0.4634,0.1778,0.2642,0.1745,0.205,b2d4,r1bq1bnr/pp3k1p/2p1ppp1/2Pp4/1n6/N3Q1P1/PB1PPPBP/1R2K1NR w K - 0 1,0.0671
41,black,18,9,-0.983,-0.9464,-0.9646,0.0182,0.5588,7.36,0.9084,0.5409,0.5905,0.7413,0.8538,f8d6,1n3b2/rpkb3Q/2p3p1/p3p1P1/4P3/P6P/1P2PPR1/RN1K1B2 b - - 0 1,0.0019
16,white,38,8,0.2009,0.2852,0.2562,0.029,0.396,2.514,0.4433,0.2806,0.4505,0.2135,0.2995,f2g3,r1bqkb1r/pppn1p1p/7n/3p4/2PP3P/2N1B1p1/PP2QPP1/R3KBNR w KQkq - 0 1,0.0318
101,black,12,8,-0.1441,-0.08,-0.0907,0.0107,0.7104,4.761,0.7504,0.3935,0.4991,0.4917,0.5231,d8c8,3k4/R5p1/8/2p4P/8/8/8/4K2b b - - 0 1,0.0017
101,black,18,8,0.6466,0.9233,0.3507,0.5726,0.0,1.0,0.0,0.2583,0.28,0.3434,0.386,h6h4,7n/4r3/4P1kr/8/2B4R/5P1P/3K4/8 b - - 0 1,0.5534
102,white,25,8,0.9986,1.0,1.0,0.0,1.0,7.965,0.9979,0.9812,0.9802,0.987,0.9898,e3f3,7Q/5kB1/7P/4K3/4P3/4R3/8/8 w - - 0 1,0.0
103,black,27,8,0.7807,0.837,0.8059,0.0311,0.3704,2.721,0.4814,0.2408,0.2907,0.3134,0.3952,c1c2,2nk4/1R6/4b3/1p1p4/4pP2/6P1/6KP/2r5 b - - 0 1,0.0452
103,black,16,8,0.6213,0.6812,0.6806,0.0006,0.9813,2.531,0.4465,0.3236,0.4807,0.2742,0.336,a6c6,k1n5/1p6/r4p2/7P/p1p5/P3PK2/P7/8 b - - 0 1,0.1374
103,black,38,8,0.9954,1.0,0.9999,0.0001,0.9978,7.98,0.9988,0.8707,0.8561,0.955,0.9461,c8d7,2b2b1k/3P4/rr3p2/1p3P1p/1P2P3/6K1/6n1/7q b - - 0 1,0.0
104,white,20,8,-0.4508,-0.2371,-0.5289,0.2918,0.0001,1.001,0.0004,0.2803,0.2615,0.3093,0.3081,h4d8,3r2k1/8/1p6/2n5/p1p4Q/q7/7P/7K w - - 0 1,0.2381
78,white,7,7,-0.9981,-0.9952,-0.9992,0.004,0.8793,6.99,0.9993,0.9327,0.89,0.993,0.9859,a5b3,6kr/p3b3/2p5/NpP1p3/2n5/2P5/P7/K1B4q w - - 0 1,0.0039
104,white,25,8,0.2366,0.3072,0.3003,0.0069,0.8025,3.426,0.5922,0.3748,0.4811,0.3694,0.3994,c5d5,7b/1k6/1P6/2Rn4/p3N2P/P3Pr2/1P1K4/8 w - - 0 1,0.0042
43,black,27,10,-0.5052,-0.3452,-0.3686,0.0234,0.4725,2.022,0.3058,0.202,0.2642,0.2252,0.2436,e8g8,rn2k2r/5p1p/p1b2npb/1p1p4/3QP1PP/P4PK1/4N3/3R1B1R b kq - 0 1,0.1255
20,white,34,10,-0.0708,0.0898,0.0773,0.0125,0.6714,2.137,0.3298,0.2121,0.2859,0.2204,0.2454,f2g2,rnbqkr2/1pp1p1p1/p2p1p1n/3P4/8/2P1B3/PP2PK1P/RN1Q1B1R w q - 0 1,0.0034
21,black,27,8,0.0868,0.1785,0.174,0.0045,0.8649,3.253,0.5673,0.2437,0.3673,0.2186,0.271,d4d3,rnbqk2r/pp1p4/5b2/7p/3p4/6PP/PP1N1P2/R2QKBNR b KQkq - 0 1,0.0027
108,white,28,8,0.9534,0.9871,0.985,0.0021,0.9361,5.744,0.8407,0.5063,0.5736,0.6743,0.7474,c1f4,8/p7/3k4/2p5/8/P1P2PP1/7R/2B3K1 w - - 0 1,0.0013
109,black,7,7,-1.0,-1.0,-1.0,0.0,0.9998,7.0,1.0,0.9999,0.9999,1.0,1.0,g8g7,3k2r1/3p2P1/p2P4/4Q3/3N4/PpP1N2p/1B2K3/1R5R b - - 0 1,0.006
109,black,7,7,-0.9945,-0.9825,-0.9962,0.0137,0.6456,6.855,0.9893,0.8716,0.7998,0.9773,0.9473,g7g8,1N6/6k1/R7/8/4p3/P1p5/7p/2K4R b - - 0 1,0.0207
109,black,6,6,-0.9759,-0.9581,-0.9662,0.0081,0.7727,5.263,0.9269,0.7793,0.816,0.8899,0.9285,g6f5,8/p7/P4Pk1/8/3Q4/P1P5/1K6/8 b - - 0 1,0.0064
27,black,37,11,-0.2023,-0.0976,-0.1093,0.0117,0.6888,4.722,0.6473,0.2353,0.3539,0.2104,0.3102,g8e7,r2qkbn1/1bpp1p2/np6/4P3/3p2Q1/P6P/1P3PP1/RNB1K1NR b KQq - 0 1,0.0009
72,white,34,8,0.9011,0.9526,0.9089,0.0437,0.247,3.825,0.6452,0.2751,0.3844,0.4164,0.5796,a5c3,5r1r/6k1/8/B1pp4/5P1p/1P1B3P/P5P1/1RK4R w - - 0 1,0.0094
33,black,37,8,0.373,0.8214,0.0881,0.7333,0.0,1.0,0.0,0.1094,0.0904,0.1599,0.1444,c5a7,2b3nr/Q2p1k1p/n2p1p1b/2q5/p5pP/4P1P1/P1P2P2/1RB1KBNR b K - 0 1,0.7535
76,white,45,8,0.9988,1.0,1.0,0.0,0.9995,7.9,0.994,0.9636,0.9731,0.9957,0.9973,d5c7,1k6/b1r2n2/p7/3N3Q/1PN4P/8/2P2PP1/R4KR1 w - - 0 1,0.0002
112,white,4,4,-1.0,-1.0,-1.0,0.0,0.9995,4.0,1.0,0.9994,0.9993,1.0,1.0,d1e1,3r4/p5k1/8/2q5/p1p3p1/2P5/1P6/3K4 w - - 0 1,0.0001
112,white,17,8,0.7349,0.9191,0.6711,0.248,0.0004,1.003,0.0017,0.2807,0.2401,0.4066,0.357,a7a8q,3k4/P7/5p2/P7/5b2/7p/4K3/6B1 w - - 0 1,0.2598
60,white,39,8,-0.7552,-0.604,-0.665,0.061,0.142,1.486,0.1905,0.1698,0.1835,0.1908,0.1754,h3g2,r1q2k2/3pp3/5n2/1p6/2p4r/N3Q2B/PP2P1b1/2R1K3 w - - 0 1,0.009
113,black,23,8,0.9647,0.985,0.9833,0.0017,0.9478,5.493,0.8192,0.6644,0.7395,0.8122,0.8469,d5c6,1b6/pp3p2/7p/P2b3k/7P/2K5/8/8 b - - 0 1,0.0016
114,white,15,8,-0.9718,-0.9273,-0.9606,0.0332,0.3455,4.882,0.7625,0.5773,0.5005,0.7404,0.7633,e5d5,8/6k1/Pp6/3nK3/1R3p2/7q/7q/8 w - - 0 1,0.0189
41,black,29,8,-0.9592,-0.917,-0.9616,0.0445,0.2407,4.343,0.7062,0.5522,0.5698,0.6711,0.7362,e7f6,r2k2nr/4b2p/4bPp1/1pP5/p6P/P4P1N/1PPP2B1/R1B1KQ1R b - - 0 1,0.0086
115,black,16,8,0.9998,1.0,0.9999,0.0001,0.9965,8.0,1.0,0.9852,0.9883,0.9997,0.9999,h6h5,4rk2/4b3/5pPp/8/1p6/5P2/p3K3/8 b - - 0 1,0.0002
21,black,29,8,0.7333,0.8227,0.7337,0.089,0.0581,1.581,0.2202,0.1363,0.1692,0.215,0.2031,e8f8,r1bqk2r/1ppp1p1p/p2bpnp1/8/5P2/P2PP1PP/1P2B3/RNB1K1NR b KQkq - 0 1,0.0014
17,black,37,8,-0.2752,-0.0988,-0.1725,0.0737,0.0947,1.347,0.1434,0.127,0.1232,0.1495,0.1463,b6b5,r1b1k1nr/p1bpqppp/npp5/8/1P2p2P/P1PPP3/4NPP1/RNBQKBR1 b Qkq - 0 1,0.1173
118,white,5,5,-0.9362,-0.9281,-0.9314,0.0034,0.8982,4.751,0.9683,0.5025,0.5709,0.6975,0.753,b1a2,6k1/1p3rn1/8/1p6/8/8/8/1K6 w - - 0 1,0.0014
119,black,17,8,0.1451,0.1734,0.1657,0.0077,0.7829,4.647,0.7388,0.4539,0.5878,0.5719,0.6153,h8h5,7r/8/1p3p2/2p3kP/2p5/8/5K2/7R b - - 0 1,0.0049
120,white,4,4,-0.9938,-0.9925,-1.0,0.0074,0.7887,3.977,0.9959,0.9379,0.918,0.9755,0.9657,h3h4,8/2rk4/4p1p1/4P3/3P3b/pp3p1K/8/2q5 w - - 0 1,0.0053
120,white,44,8,1.0,1.0,1.0,0.0,1.0,8.0,1.0,0.9998,0.9998,1.0,1.0,g6g8,7R/7Q/4N1R1/3k4/8/2P5/8/2K5 w - - 0 1,0.0
121,black,49,8,0.9928,1.0,1.0,0.0,1.0,7.307,0.9564,0.9332,0.8908,0.9487,0.9237,d6c5,3r4/1r6/1k1q4/8/6K1/pp6/8/2n5 b - - 0 1,0.0
85,black,29,8,0.1148,0.2139,0.1137,0.1001,0.0407,1.352,0.1451,0.2653,0.2744,0.3786,0.3269,e6b6,5r2/3kb3/p3r3/4Bp2/3P1P1p/1p6/1K3R1P/6R1 b - - 0 1,0.0014
122,white,16,8,0.2559,0.3449,0.3081,0.0368,0.3088,2.971,0.5236,0.3148,0.3722,0.4002,0.4017,e6e1,8/3k4/p2bR1PK/8/P6P/8/8/8 w - - 0 1,0.4278
76,white,7,7,-0.9919,-0.9782,-0.9896,0.0114,0.6946,6.832,0.9875,0.7939,0.7977,0.9507,0.9557,c3b3,8/1n2k2r/1p2p3/8/2P1P3/2K3Pp/r6P/8 w - - 0 1,0.0074
118,white,41,8,0.9969,1.0,0.9999,0.0,0.999,7.829,0.9896,0.9092,0.9244,0.9459,0.972,c8e6,2Q5/8/p5pk/8/1P4p1/3R2Kp/8/4N3 w - - 0 1,0.0001
124,white,26,8,0.9712,0.9885,0.9791,0.0094,0.7408,6.969,0.9336,0.597,0.6649,0.8212,0.8733,c4c5,8/8/R7/p5k1/P1P5/2N3p1/1P4K1/8 w - - 0 1,0.0012
61,black,19,8,-0.9966,-0.9914,-0.9982,0.0068,0.8053,7.966,0.9979,0.8767,0.8395,0.9766,0.9823,b7b8,Q1N5/1rk5/n2p1np1/2pBppBp/pPP1P2P/P2P2P1/4RK2/1R4N1 b - - 0 1,0.0051
124,white,8,8,-0.9168,-0.8849,-0.9014,0.0165,0.5895,5.957,0.8582,0.3403,0.4395,0.5283,0.6568,b3c3,3k4/2p5/2p1p3/7r/8/1K6/8/8 w - - 0 1,0.0081
44,white,24,8,0.9195,0.972,0.9326,0.0394,0.2833,3.911,0.6559,0.337,0.2855,0.4552,0.5183,b2a3,rn5r/ppp1N2k/5p2/5p2/5b2/1PPp1P2/PQ1P3P/R1BKR3 w - - 0 1,0.0181
126,white,34,8,0.9999,1.0,0.9999,0.0,0.9997,8.0,1.0,0.993,0.994,0.9999,1.0,g7g8q,N7/5QP1/8/8/PP1p4/3k3K/8/8 w - - 0 1,0.0
126,white,21,9,0.2251,0.2864,0.2724,0.014,0.6398,4.295,0.6634,0.3111,0.3608,0.4234,0.4227,f4f5,8/7k/p3n3/7B/5PP1/2N5/6K1/8 w - - 0 1,0.0409
84,white,25,9,-0.6112,-0.4576,-0.6457,0.1881,0.0024,1.044,0.0194,0.2281,0.2683,0.2651,0.2133,g7g6,4r3/2p1knQ1/2p2p2/1n1p1P1q/3P4/P7/1P4K1/R1B5 w - - 0 1,0.0201
109,black,3,3,-0.2726,-0.1803,-0.9745,0.7942,0.0,1.0,0.0,0.2437,0.2404,0.3585,0.3138,c2d1,8/5N2/p7/P1rB4/1p2P3/3PK3/2k5/3Q4 b - - 0 1,0.7638
111,black,10,8,0.5908,0.908,0.2071,0.7008,0.0,1.0,0.0,0.4712,0.3991,0.6026,0.5005,f4f3,8/2k5/4p3/p7/P4p1p/K6P/8/8 b - - 0 1,0.7475
129,black,13,9,-0.3747,-0.3021,-0.3121,0.0101,0.7243,3.177,0.5261,0.3709,0.4139,0.415,0.3962,d6c5,8/4b3/3k4/1p6/8/5P2/6K1/1B5R b - - 0 1,0.0084
32,white,30,10,0.2957,0.3693,0.3596,0.0097,0.7325,4.537,0.6568,0.2968,0.4398,0.2782,0.3372,f3e1,1nr1k1nr/p2b2p1/1ppb2Pp/4p2P/2P2p2/5N2/PP2PP2/RNBK1B1R w k - 0 1,0.0185
40,white,6,6,-0.9784,-0.9492,-0.9736,0.0244,0.4578,5.191,0.9191,0.6659,0.5593,0.8159,0.8093,e2d3,r1bk1r2/ppq1n1p1/4P3/8/1P4P1/2P4B/P3KP1P/R1B3n1 w - - 0 1,0.0017
72,white,32,8,0.8603,0.9194,0.8879,0.0316,0.3646,3.465,0.5977,0.2862,0.37,0.3784,0.4631,d2c3,6k1/3q3p/3p3n/3P1p2/5Pp1/6P1/1P1Q1KBP/1R6 w - - 0 1,0.0164
78,white,31,8,0.9432,0.964,0.95,0.014,0.6388,6.024,0.8636,0.3956,0.46,0.533,0.6511,f4e5,3k4/2n1n3/3r1r2/1p1p1PN1/3P1BBp/P1P4P/8/R2NK1R1 w - - 0 1,0.0017
79,black,28,8,0.0386,0.1157,0.1092,0.0065,0.8117,3.129,0.5486,0.3128,0.4666,0.4258,0.519,a6b7,8/7p/b7/2P1kr2/1B6/8/P2K2nN/3R4 b - - 0 1,0.0016
69,black,13,8,-0.9999,-0.9997,-0.9998,0.0001,0.9958,8.0,1.0,0.9899,0.9957,0.9998,1.0,d5e3,5k1r/1Qp2p2/2P2Pp1/pB1n3p/P2N1P1P/4B1P1/1P4K1/R6R b - - 0 1,0.0001
49,black,35,9,-0.7103,-0.5911,-0.6071,0.016,0.599,3.041,0.5061,0.3495,0.4927,0.3031,0.4154,d3d2,1rb4r/pp1pk2p/4p3/2n5/P7/2bp1N2/5KBP/1R1Q2NR b - - 0 1,0.0616
26,white,40,8,-0.2358,-0.0154,-0.1975,0.1821,0.003,1.02,0.0097,0.1081,0.0596,0.0879,0.0712,b1c3,r1bq1k1r/np2np1p/p1pp2p1/P7/4P3/5NP1/1PK2P1P/RN1Q1B1R w - - 0 1,0.1636
16,white,33,9,0.2653,0.368,0.3572,0.0108,0.7085,3.444,0.5628,0.1897,0.3574,0.1562,0.233,c2a2,rnbk2nr/1ppp1ppp/3bq3/pP6/P2Pp3/2P2PP1/2Q1P2P/RNB1KBNR w KQ - 0 1,0.0501
43,black,21,8,0.6765,0.7553,0.7346,0.0207,0.5155,2.912,0.5141,0.2014,0.2393,0.2244,0.2439,c8b8,2rq1b1r/p1p1pp2/p1k5/1b1p1P1p/1P1P3P/P2PP2N/4K1p1/RNB3R1 b - - 0 1,0.0139
38,white,34,8,0.9757,0.9946,0.9851,0.0095,0.7391,7.509,0.9695,0.4938,0.5449,0.6989,0.8012,h5f3,r1b2bkr/1p5p/n6P/3p1pNQ/pP1P4/B3Pp2/P1P2P2/1R2K2R w K - 0 1,0.0109
124,white,10,8,-0.2655,-0.0971,-0.1426,0.0455,0.2332,2.179,0.3745,0.3311,0.394,0.4873,0.5039,e2f4,8/6k1/p7/P2p4/1P3rP1/3n4/4N3/3K4 w - - 0 1,0.0278
72,white,3,3,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,d1c1,1n6/p5Q1/2k5/8/b4P2/P1Bp3R/P2N2p1/R2K2N1 w - - 0 1,0.0
132,white,13,8,0.1931,0.2575,0.1947,0.0628,0.1342,2.265,0.3931,0.2895,0.3028,0.4443,0.4616,d2d1,8/8/8/4k2p/3b3K/7P/3R4/8 w - - 0 1,0.0078
23,black,31,8,-0.062,0.0762,0.0373,0.0388,0.2888,1.944,0.3197,0.1299,0.193,0.1627,0.197,f6e4,rn1q1k1r/1p4bp/2pppn2/p7/3PP2P/2P4B/PP3P1P/RNQ1K2R b KQ - 0 1,0.0428
133,black,3,3,-0.9954,-0.9895,-0.9959,0.0064,0.8138,2.974,0.992,0.9132,0.8999,0.9798,0.9765,d3c2,8/8/4Q3/p7/N7/P2k4/8/5K2 b - - 0 1,0.0031
134,white,5,5,-0.9814,-0.9727,-0.9859,0.0132,0.6553,4.66,0.9563,0.794,0.6723,0.8958,0.8297,g2f2,5k2/5p2/1n6/4p3/8/p1q5/6K1/8 w - - 0 1,0.0081
37,black,20,8,-0.9476,-0.9082,-0.9218,0.0137,0.6463,5.527,0.8222,0.5092,0.5659,0.6126,0.6591,g5e6,1rbk1b2/pp1p1pp1/n7/2p3n1/2P2N2/P4P2/1P1P1K2/R1BQ2NB b - - 0 1,0.0016
35,black,33,8,-0.477,-0.3924,-0.397,0.0046,0.8624,2.51,0.4426,0.246,0.3408,0.1815,0.2213,b8d7,rn1q1kr1/1p3pp1/pP5p/8/2QNnp2/7P/PB2PPP1/1R2KB1R b K - 0 1,0.005
59,black,38,8,0.935,0.9779,0.9727,0.0052,0.8462,4.753,0.7496,0.4292,0.501,0.5168,0.5612,d6b4,rnb3r1/2k3p1/3b4/p4p1p/3PpP1n/8/1PP3Bq/R1BNKQ2 b - - 0 1,0.0002
137,black,3,3,-0.9993,-0.9988,-1.0,0.0012,0.9626,3.0,0.9999,0.9717,0.9578,0.9933,0.9957,a3b4,8/3Q1Q2/7N/p7/7P/k7/8/7K b - - 0 1,0.0017
39,black,26,8,0.1507,0.422,0.0506,0.3714,0.0,1.0,0.0001,0.2251,0.254,0.2193,0.1973,f7e6,1n2qb1r/3bkpp1/4N3/r1pPp2P/pp2P3/2p1P3/2Q2K1P/R1B2B1R b - - 0 1,0.4792
138,white,50,8,0.9957,1.0,1.0,0.0,1.0,7.967,0.998,0.9177,0.889,0.9459,0.9545,b6b7,8/6k1/1P5p/R4P1P/1P6/3Q2p1/6K1/1RB5 w - - 0 1,0.0
25,black,33,8,0.1129,0.633,0.4048,0.2282,0.0007,1.006,0.0027,0.1742,0.1621,0.2133,0.1577,e7b7,r3kb1r/pP2q1p1/n3pnPp/5p1P/2Pp1P2/5N2/PP2P3/RNBbKB1R b KQkq - 0 1,0.2111
99,black,25,8,-0.5698,-0.4935,-0.5377,0.0442,0.243,1.912,0.3117,0.2151,0.2144,0.2141,0.2357,b7b3,8/pr3r2/2k4p/8/N2R3N/1P2p2P/4P1KR/8 b - - 0 1,0.0651
101,black,20,8,-0.8193,-0.7297,-0.8401,0.1104,0.0293,1.358,0.1473,0.2119,0.1933,0.2824,0.2876,a2a5,8/2p2kp1/5p2/1P5p/7P/4B3/r2N1KQ1/8 b - - 0 1,0.0045
60,white,32,9,0.8658,0.9412,0.9073,0.0339,0.3388,4.229,0.6562,0.2349,0.2502,0.3703,0.4543,d2b3,B1bk1b1r/3n2pp/pp6/5p2/PPPn4/3P4/3N4/RQ3KR1 w - f6 0 1,0.0032
140,white,17,8,0.9104,0.9497,0.9274,0.0223,0.49,4.338,0.7057,0.4109,0.5049,0.5621,0.6678,a6c6,8/8/R7/P7/1Pk5/2P2K2/5P2/8 w - - 0 1,0.0132
140,white,9,8,0.0014,0.1749,0.1317,0.0432,0.2514,1.652,0.2413,0.3811,0.3623,0.5308,0.4749,a1d4,8/8/p7/3K4/3b3k/8/8/B7 w - - 0 1,0.004
48,white,40,8,0.0808,0.2321,0.2043,0.0278,0.4113,2.701,0.4779,0.2407,0.306,0.261,0.2753,d1d4,1r3k1r/1p1q2bp/p1p2p2/3P4/1P4p1/P3BPPP/2R2P2/3Q1K1R w - - 0 1,0.0862
126,white,30,8,0.8168,0.9887,0.9077,0.081,0.0751,1.522,0.202,0.34,0.307,0.4497,0.3973,f5g7,8/p2k2rp/8/2r2N2/1N2P3/5P1R/1R1b1K2/8 w - - 0 1,0.0232
95,black,9,8,-0.3692,-0.2145,-0.5441,0.3296,0.0,1.001,0.0004,0.2107,0.1924,0.2925,0.2623,f5e6,8/8/4N3/p4k2/8/5KP1/1n6/2R5 b - - 0 1,0.3432
49,black,36,11,-0.5164,-0.4369,-0.4401,0.0032,0.9031,4.9,0.6628,0.2697,0.4015,0.2234,0.2644,f4g3,r1b1kr2/2p1p3/1p4P1/2nP3p/5p2/2N3P1/P2P1KBP/4R1NR b - - 0 1,0.2764
44,white,26,9,-0.1201,0.0512,-0.0214,0.0726,0.0983,1.428,0.1622,0.1809,0.1613,0.2556,0.2474,e3d4,6nr/p2p1kp1/p3p3/2P1Pq2/5Ppp/P1NNQb2/R1P2K1P/8 w - - 0 1,0.1325
13,black,33,8,0.2534,0.4025,0.3729,0.0296,0.388,1.846,0.2948,0.1623,0.1982,0.1931,0.2153,b4a2,r1bqkbnr/ppp1pp2/6pp/8/1n1Pp3/N5P1/P1P2PBP/1RBQK1NR b Kkq - 0 1,0.0501
38,white,43,8,0.0379,0.1172,0.0661,0.0511,0.1952,2.129,0.3634,0.264,0.4151,0.2551,0.3372,a1d1,1rb1k1n1/pp1pq2p/n2b2p1/4Np2/5P1P/2B3P1/P1PKP1B1/R4Q1R w - - 0 1,0.1282
72,white,26,10,0.3524,0.426,0.418,0.008,0.7733,6.079,0.7838,0.2982,0.4332,0.3467,0.4318,c3c4,2k5/2p4r/p5p1/bpP5/4P1p1/P1P3N1/1R3PK1/2B5 w - - 0 1,0.0619
11,black,19,8,0.1952,0.2678,0.2587,0.0091,0.7473,2.288,0.3981,0.2089,0.3556,0.1945,0.2728,e7e6,rnbqkbnr/pp1ppp2/6pp/2p1P3/2P5/5QP1/PP1P1P1P/RNB1KBNR b KQkq - 0 1,0.0324
68,white,1,1,-0.9042,-0.9042,,2.0,0.0,1.0,0.0,0.4632,0.4488,0.5546,0.5523,e1e2,5k2/6pr/p1p4p/P3P3/2N2B2/4p1P1/7P/1r2KBq1 w - - 0 1,
90,white,23,9,0.7594,0.7971,0.7937,0.0034,0.8965,5.566,0.7813,0.2888,0.3778,0.3295,0.3552,a1c1,2b5/p7/1b2p1k1/2p1P3/7P/P1Br1NK1/3P4/R2N3R w - - 0 1,0.0952
70,white,5,5,-1.0,-1.0,-1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,b4b5,1r3knr/p1p5/3q1b2/8/1P4n1/1pPp1b2/3P4/2B3K1 w - - 0 1,0.0021
