ply,side,n_legal,n_qualified,v_root,q1,q2,gap,F_gap,eff_actions,ease_entropy,F_tree_gap,F_flat_gap,F_tree_entropy,F_flat_entropy,best_move,fen,gap_hi
29,black,34,8,0.6809,0.7324,0.6766,0.0558,0.1679,2.422,0.4253,0.219,0.22,0.242,0.2456,c4b3,1rbqk1n1/pp2bp2/2p1p3/7p/2p2P2/1P2PN1P/P1PP2PR/1RB1K3 b - - 0 1,0.0772
32,white,33,8,0.036,0.1398,0.1396,0.0002,0.9935,3.04,0.5347,0.0789,0.0553,0.107,0.0717,e2d4,rn3bnr/2q2k2/b5p1/p1P2pBp/1P1p3P/P7/2P1NPP1/R2QKBR1 w Q - 0 1,0.1918
36,white,40,8,0.7434,0.8001,0.7936,0.0064,0.8139,3.699,0.629,0.2458,0.3337,0.2455,0.2974,d1d2,r1bq1kn1/ppp1b3/6P1/4p2p/1P1pP2R/5NP1/P1P2PB1/1RBQKN2 w - - 0 1,0.0889
20,white,25,8,0.0564,0.1458,0.1329,0.0129,0.6613,2.423,0.4257,0.2667,0.3506,0.2474,0.2929,h2h4,rnbq1b1r/5k1p/1pp1p1p1/p4p2/8/N5P1/PPPP1P1P/1RBQ1KNR w - - 0 1,0.0391
37,black,45,10,-0.7038,-0.5963,-0.599,0.0027,0.917,3.548,0.5499,0.1977,0.3988,0.1653,0.2568,e8f8,B1b1r3/p1p2kqp/n2b2p1/3p4/2pP2P1/5N1P/PP2NB2/1R1QK2R b K - 0 1,0.0144
38,white,32,9,0.5218,0.7645,0.5746,0.1899,0.0023,1.034,0.0153,0.1562,0.1079,0.1565,0.1123,f1d3,r1b3nr/1p2bkpp/p3p3/n1Pp1pP1/3P3P/2N1PP1N/2P5/2BQKB1R w - - 0 1,0.0055
16,white,32,9,0.0737,0.1563,0.1493,0.007,0.7989,3.975,0.6281,0.2081,0.3082,0.2179,0.2523,d3b1,rnbqk2r/1p2ppb1/p1pp1n2/7p/4P1p1/N1PB3P/PP1P1PP1/R1BQK1NR w KQkq - 0 1,0.0105
30,white,34,9,-0.6819,-0.5552,-0.5596,0.0043,0.8703,2.161,0.3506,0.1904,0.3391,0.2021,0.2685,g4g5,r4b1r/1bqp1k1p/np1p1np1/p3p3/4pNP1/7P/PPPBKPB1/R2Q2NR w - e6 0 1,0.0039
40,white,15,8,-0.5536,-0.4545,-0.5289,0.0744,0.0926,1.453,0.1796,0.1674,0.2283,0.2061,0.2343,d2e4,4kb1r/p1pp1p1p/8/3p4/1p2n1p1/4n1P1/PPPN4/RN2B2K w k - 0 1,0.1542
40,white,29,8,0.953,0.984,0.9813,0.0027,0.9177,5.926,0.8557,0.5323,0.6577,0.6674,0.7416,g3g4,3r1kn1/2p1p1b1/p4pp1/1p4p1/P7/N3PKP1/1P1P4/R1BQ1B2 w - - 0 1,0.0056
41,black,19,8,-0.7273,-0.5955,-0.7086,0.1131,0.0269,1.192,0.0846,0.2419,0.2268,0.2749,0.2322,c8d7,rnb2kn1/pp1B1r2/4p3/5p1N/N2p1P1P/1P3Q1R/P1PP2P1/4K3 b - - 0 1,0.2131
42,white,34,8,-0.6736,-0.5473,-0.7158,0.1685,0.0046,1.042,0.0198,0.2273,0.2787,0.1746,0.1409,b1d1,1rb1k2r/p2p2pp/np3q2/2p2P1P/2P5/P3BP1N/P2K2P1/1R1n1B1R w k - 0 1,0.1295
43,black,28,8,0.6059,0.6937,0.6389,0.0548,0.1732,2.41,0.4231,0.2151,0.1998,0.3257,0.3054,a5a4,2b1kbr1/3pp3/rq3p1p/p1p2P1N/1p6/1P1P4/PQP1B1PP/6KR b - - 0 1,0.0263
26,white,38,8,0.2768,0.371,0.2957,0.0753,0.09,2.222,0.3838,0.1482,0.1761,0.2105,0.2428,h1g1,rn1q1k2/ppp1pp1r/3p1n2/3P1Q1p/1P2P3/2N4P/P1P2P1P/1R2KB1R w K - 0 1,0.0075
23,black,21,11,-0.0506,0.0546,0.0309,0.0237,0.4685,3.301,0.4981,0.2358,0.2863,0.3063,0.324,e6e5,r1bqkbnr/p1p1n1pp/4p3/3p1p2/P1pP1P2/2N1PB1P/1P1B2P1/R2QK1NR b - a3 0 1,0.0121
46,white,27,8,0.5652,0.6406,0.6136,0.0269,0.4226,2.907,0.5132,0.2047,0.3043,0.1847,0.293,a5a6,4q3/pp2kpr1/3r1bpp/P2Pp3/7P/4PRP1/1P3P2/1RBQKB2 w - - 0 1,0.0095
47,black,38,9,0.8438,0.935,0.9183,0.0167,0.5864,3.689,0.5941,0.253,0.3409,0.3242,0.4073,f7f5,2bq4/p1ppkp2/4p3/3P4/2PbN3/8/Pr3P2/3RK1R1 b - - 0 1,0.0113
47,black,36,11,-0.3296,-0.1834,-0.201,0.0176,0.5702,3.755,0.5518,0.2238,0.3379,0.2732,0.3154,c4c7,3qk3/1p1np3/p5pr/5pp1/2rP4/P1P2P2/2QBN1B1/1R3K2 b - - 0 1,0.0758
6,white,31,10,0.142,0.2223,0.222,0.0004,0.9885,4.108,0.6136,0.2526,0.4434,0.2181,0.3073,d4d5,rnbqkbnr/pppppp2/8/6B1/3P3p/7N/PPP1PPPP/RN1QKB1R w KQkq - 0 1,0.0095
48,white,37,8,-0.1149,0.2427,-0.4423,0.685,0.0,1.0,0.0,0.1517,0.1584,0.1564,0.1544,b4a5,r1b2knr/P1pp2bp/4p3/q5p1/1P1P4/P3P1PP/3R4/2Q1KBN1 w - - 0 1,0.8125
49,black,48,8,0.9975,0.9999,0.9994,0.0005,0.9828,7.927,0.9956,0.8777,0.892,0.9586,0.9833,g8e7,1r2k1nr/ppq2pp1/8/2n3P1/5P2/N1b2PRP/P7/2BK4 b k - 0 1,0.0003
50,white,2,2,0.9913,1.0,0.9514,0.0486,0.2114,1.589,0.6679,0.824,0.7353,0.9117,0.8586,f2e3,8/pB2k2p/3p4/2pPp3/1nP5/4q3/P4KP1/R2Q2NR w - - 0 1,0.0593
51,black,50,8,0.9856,0.9948,0.9934,0.0014,0.9553,7.765,0.9857,0.7637,0.7647,0.9065,0.9049,g5f4,3r3r/2kb1pp1/1p1b4/3K2p1/pq3P1P/4B1p1/1PP3B1/R5R1 b - - 0 1,0.005
51,black,42,8,0.0609,0.2404,0.1704,0.0699,0.1068,1.585,0.2215,0.1853,0.2137,0.2284,0.2478,a8c8,r2q3r/pb3pk1/p5n1/n3p1p1/1p1p2P1/1P1P1P1B/R1QNPK1R/B5N1 b - - 0 1,0.0575
14,white,27,10,-0.0856,0.1396,0.0212,0.1184,0.0227,1.271,0.1041,0.0973,0.0882,0.1576,0.1366,h1h2,rnb1kbnr/1p2qpp1/p3p3/2p4p/2p5/N2PP2P/PP2BPP1/1RBQK1NR w Kkq - 0 1,0.0297
