delta,mean_delta_set,fire_rate,saturated_rate,mean_worst_sacrifice,noise_floor,verdict
0.01,1.876,0.4,0.243,0.0015,0.06454,NOISE
0.02,2.111,0.5013,0.3215,0.00387,0.06454,NOISE
0.03,2.281,0.5772,0.3544,0.00687,0.06454,NOISE
0.05,2.478,0.6608,0.3949,0.01217,0.06454,NOISE
0.075,2.686,0.7291,0.4582,0.02017,0.06454,ok
0.1,2.856,0.7772,0.5316,0.02901,0.06454,ok
0.15,3.096,0.8734,0.6051,0.04765,0.06454,ok
